S/N,Agency,Identified Component,Identified parameters,Suggested Revit Representation,Suggested Archicad Representation,Suggested Tekla Structures Representation,Suggested Bentley OpenBuildings Representation,Suggested Discipline,"IFC4
 Entities","IFC Sub Types
(* = USERDEFINED)",Property Set,Property Name,Property Type,Property Unit,"IFC4
Material Set","Accepted Values 
(for parameters with Input Limitations)","Sample Value for Reference
(for parameters without Input Limitations)",,,,,
39,SCDF,Breeching Inlet,Hose Nominal Diameter,Plumbing Fixtures,Pipe Flow Terminal,N.A,Equipment,MEP,IfcFireSuppressionTerminal,BREECHINGINLET,SGPset_FireSuppressionTerminal,Hose_NominalDiameter,Label,N.A,N.A,N.A,N.A,IfcFireSuppressionTerminalBREECHINGINLET,check,FireSuppressionTerminal,FireSuppressionTerminal,okay
40,SCDF,Breeching Inlet,ID,Plumbing Fixtures,Pipe Flow Terminal,N.A,Equipment,MEP,IfcFireSuppressionTerminal,BREECHINGINLET,SGPset_FireSuppressionTerminal,ID,Label,N.A,N.A,N.A,N.A,IfcFireSuppressionTerminalBREECHINGINLET,check,FireSuppressionTerminal,FireSuppressionTerminal,okay
41,SCDF,Breeching Inlet,System Name,Plumbing Fixtures,Pipe Flow Terminal,N.A,Equipment,MEP,IfcFireSuppressionTerminal,BREECHINGINLET,SGPset_FireSuppressionTerminal,SystemName,Label,N.A,N.A,N.A,N.A,IfcFireSuppressionTerminalBREECHINGINLET,check,FireSuppressionTerminal,FireSuppressionTerminal,okay
42,SCDF,Breeching Inlet,System Type,Plumbing Fixtures,Pipe Flow Terminal,N.A,Equipment,MEP,IfcFireSuppressionTerminal,BREECHINGINLET,SGPset_FireSuppressionTerminal,SystemType,Label,N.A,N.A,N.A,"Dry Riser, Wet Riser, Foam Sprinkler, Sprinkler",IfcFireSuppressionTerminalBREECHINGINLET,check,FireSuppressionTerminal,FireSuppressionTerminal,okay
43,URA,Building Storey,N.A,Levels,Storey,N.A,Floor,ARC,IfcBuildingStorey,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,IfcBuildingStoreyN.A,skip,BuildingStorey,#N/A,#N/A
44,SCDF,Ceiling,Fire Rating,Ceilings,Ceiling,N.A,Slab,ARC,IfcCovering,CEILING,Pset_CoveringCommon,FireRating,Label,hr,N.A,"0.5, 1, 1.5, 2, 2.5, 3, 3.5, 4",N.A,IfcCoveringCEILING,check,Covering,Covering,okay
45,SCDF,Ceiling,Material,Ceilings,Ceiling,N.A,Slab,ARC,IfcCovering,CEILING,SGPset_Material,Material,Label,N.A,Name,N.A,"Sand, Corey Dust, Granite Dust, Gravel, Crusher Run, Recycled Aggregates, Intumescent Paint, Steel, Timber, Engineered Timber, Concrete, Wood, Brick, Reinforced Concrete, MET, Galvanized Mild Steel Heavy Duty, Plastic, Plastered, Fair-Faced Brickwall, Samples of Concrete Elements",IfcCoveringCEILING,check,Covering,Material,check
46,BCA,Column,Arrangement Type,Structural Columns,Column,Concrete Column,Column,STR,IfcColumn,N.A,SGPset_PrecastConcreteElementGeneral,ArrangementType,Label,N.A,N.A,N.A,Multi-Tier,IfcColumnN.A,skip,Column,Precas,check
47,BCA,Column,Breadth,Structural Columns,Column,Concrete Column,Column,STR,IfcColumn,N.A,SGPset_ColumnDimension,Breadth,Length,mm,N.A,N.A,300,IfcColumnN.A,skip,Column,Column,okay
48,BCA,Column,Connection Details Bottom,Structural Columns,Column,Concrete Column,Column,STR,IfcColumn,N.A,SGPset_SteelConnection,ConnectionDetailsBottom,Label,N.A,N.A,N.A,Detail 1,IfcColumnN.A,skip,Column,SteelC,check
49,BCA,Column,Connection Details Top,Structural Columns,Column,Concrete Column,Column,STR,IfcColumn,N.A,SGPset_SteelConnection,ConnectionDetailsTop,Label,N.A,N.A,N.A,Detail 1,IfcColumnN.A,skip,Column,SteelC,check
50,BCA,Column,Connection Type Bottom,Structural Columns,Column,Concrete Column,Column,STR,IfcColumn,N.A,SGPset_SteelConnection,ConnectionTypeBottom,Label,N.A,N.A,"Pinned, Fixed, Free",N.A,IfcColumnN.A,skip,Column,SteelC,check
51,BCA,Column,Connection Type Top,Structural Columns,Column,Concrete Column,Column,STR,IfcColumn,N.A,SGPset_SteelConnection,ConnectionTypeTop,Label,N.A,N.A,"Pinned, Fixed, Free",N.A,IfcColumnN.A,skip,Column,SteelC,check
52,BCA,Column,Construction Method,Structural Columns,Column,Concrete Column,Column,STR,IfcColumn,N.A,SGPset_Column,ConstructionMethod,Label,N.A,N.A,"CIS, PC, PT (Pre), PT (Post), PF, PPVC, Spun",N.A,IfcColumnN.A,skip,Column,Column,okay
53,BCA,Column,Diameter,Structural Columns,Column,Concrete Column,Column,STR,IfcColumn,N.A,SGPset_ColumnDimension,Diameter,Length,mm,N.A,N.A,600,IfcColumnN.A,skip,Column,Column,okay
54,BCA,Column,End Storey,Structural Columns,Column,Concrete Column,Column,STR,IfcColumn,N.A,SGPset_ColumnDimension,EndStorey,Label,N.A,N.A,N.A,"2nd Storey, Roof Storey",IfcColumnN.A,skip,Column,Column,okay
