S/N,Agency,Identified Component,Identified parameters,Suggested Revit Representation,Suggested Archicad Representation,Suggested Tekla Structures Representation,Suggested Bentley OpenBuildings Representation,Suggested Discipline,"IFC4
 Entities","IFC Sub Types
(* = USERDEFINED)",Property Set,Property Name,Property Type,Property Unit,"IFC4
Material Set","Accepted Values 
(for parameters with Input Limitations)","Sample Value for Reference
(for parameters without Input Limitations)",,,,,
411,NEA,Pollution Control,Air Impurities Hydrogen Chloride,Generic Models,Object,N.A,Object,ARC,IfcUnitaryEquipment,"*AIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",SGPset_UnitaryEquipment,AI_HydrogenChloride,Label,N.A,N.A,N.A,N.A,"IfcUnitaryEquipmentAIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",skip,UnitaryEquipment,UnitaryEquipment,okay
412,NEA,Pollution Control,Air Impurities Hydrogen Sulphide,Generic Models,Object,N.A,Object,ARC,IfcUnitaryEquipment,"*AIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",SGPset_UnitaryEquipment,AI_HydrogenSulphide,Label,N.A,N.A,N.A,N.A,"IfcUnitaryEquipmentAIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",skip,UnitaryEquipment,UnitaryEquipment,okay
413,NEA,Pollution Control,Air Impurities Lead,Generic Models,Object,N.A,Object,ARC,IfcUnitaryEquipment,"*AIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",SGPset_UnitaryEquipment,AI_Lead,Label,N.A,N.A,N.A,N.A,"IfcUnitaryEquipmentAIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",skip,UnitaryEquipment,UnitaryEquipment,okay
414,NEA,Pollution Control,Air Impurities Mercury,Generic Models,Object,N.A,Object,ARC,IfcUnitaryEquipment,"*AIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",SGPset_UnitaryEquipment,AI_Mercury,Label,N.A,N.A,N.A,N.A,"IfcUnitaryEquipmentAIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",skip,UnitaryEquipment,UnitaryEquipment,okay
415,NEA,Pollution Control,Air Impurities Oxides Of Nitrogen,Generic Models,Object,N.A,Object,ARC,IfcUnitaryEquipment,"*AIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",SGPset_UnitaryEquipment,AI_OxidesOfNitrogen,Label,N.A,N.A,N.A,N.A,"IfcUnitaryEquipmentAIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",skip,UnitaryEquipment,UnitaryEquipment,okay
416,NEA,Pollution Control,Air Impurities Particulate Substances,Generic Models,Object,N.A,Object,ARC,IfcUnitaryEquipment,"*AIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",SGPset_UnitaryEquipment,AI_ParticulateSubstances,Label,N.A,N.A,N.A,N.A,"IfcUnitaryEquipmentAIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",skip,UnitaryEquipment,UnitaryEquipment,okay
417,NEA,Pollution Control,Air Impurities Styrene Monomer,Generic Models,Object,N.A,Object,ARC,IfcUnitaryEquipment,"*AIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",SGPset_UnitaryEquipment,AI_StyreneMonomer,Label,N.A,N.A,N.A,N.A,"IfcUnitaryEquipmentAIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",skip,UnitaryEquipment,UnitaryEquipment,okay
418,NEA,Pollution Control,Air Impurities Sulphur Dioxide,Generic Models,Object,N.A,Object,ARC,IfcUnitaryEquipment,"*AIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",SGPset_UnitaryEquipment,AI_SulphurDioxide,Label,N.A,N.A,N.A,N.A,"IfcUnitaryEquipmentAIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",skip,UnitaryEquipment,UnitaryEquipment,okay
419,NEA,Pollution Control,Air Impurities Sulphur Trioxide And Acid Gases,Generic Models,Object,N.A,Object,ARC,IfcUnitaryEquipment,"*AIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",SGPset_UnitaryEquipment,AI_SulphurTrioxideAndAcidGases,Label,N.A,N.A,N.A,N.A,"IfcUnitaryEquipmentAIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",skip,UnitaryEquipment,UnitaryEquipment,okay
420,NEA,Pollution Control,Air Impurities Sulphur Trioxide Or Sulphuric Acid Mist,Generic Models,Object,N.A,Object,ARC,IfcUnitaryEquipment,"*AIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",SGPset_UnitaryEquipment,AI_SulphurTrioxideOrSulphuricAcidMist,Label,N.A,N.A,N.A,N.A,"IfcUnitaryEquipmentAIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",skip,UnitaryEquipment,UnitaryEquipment,okay
421,NEA,Pollution Control,Air Impurities Vinyl Chloride Monomer,Generic Models,Object,N.A,Object,ARC,IfcUnitaryEquipment,"*AIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",SGPset_UnitaryEquipment,AI_VinylChlorideMonomer,Label,N.A,N.A,N.A,N.A,"IfcUnitaryEquipmentAIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",skip,UnitaryEquipment,UnitaryEquipment,okay
422,NEA,Pollution Control,Trade Effluent Discharge Arsenic,Generic Models,Object,N.A,Object,ARC,IfcUnitaryEquipment,"*AIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",SGPset_UnitaryEquipment,TED_Arsenic,Label,N.A,N.A,N.A,N.A,"IfcUnitaryEquipmentAIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",skip,UnitaryEquipment,UnitaryEquipment,okay
423,NEA,Pollution Control,Trade Effluent Discharge Barium,Generic Models,Object,N.A,Object,ARC,IfcUnitaryEquipment,"*AIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",SGPset_UnitaryEquipment,TED_Barium,Label,N.A,N.A,N.A,N.A,"IfcUnitaryEquipmentAIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",skip,UnitaryEquipment,UnitaryEquipment,okay
424,NEA,Pollution Control,Trade Effluent Discharge Beryllium,Generic Models,Object,N.A,Object,ARC,IfcUnitaryEquipment,"*AIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",SGPset_UnitaryEquipment,TED_Beryllium,Label,N.A,N.A,N.A,N.A,"IfcUnitaryEquipmentAIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",skip,UnitaryEquipment,UnitaryEquipment,okay
425,NEA,Pollution Control,Trade Effluent Discharge Biochemical Oxygen Demand,Generic Models,Object,N.A,Object,ARC,IfcUnitaryEquipment,"*AIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",SGPset_UnitaryEquipment,TED_BiochemicalOxygenDemand,Label,N.A,N.A,N.A,N.A,"IfcUnitaryEquipmentAIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",skip,UnitaryEquipment,UnitaryEquipment,okay
426,NEA,Pollution Control,Trade Effluent Discharge Boron,Generic Models,Object,N.A,Object,ARC,IfcUnitaryEquipment,"*AIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",SGPset_UnitaryEquipment,TED_Boron,Label,N.A,N.A,N.A,N.A,"IfcUnitaryEquipmentAIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",skip,UnitaryEquipment,UnitaryEquipment,okay
427,NEA,Pollution Control,Trade Effluent Discharge Cadmium,Generic Models,Object,N.A,Object,ARC,IfcUnitaryEquipment,"*AIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",SGPset_UnitaryEquipment,TED_Cadmium,Label,N.A,N.A,N.A,N.A,"IfcUnitaryEquipmentAIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",skip,UnitaryEquipment,UnitaryEquipment,okay
428,NEA,Pollution Control,Trade Effluent Discharge Calcium,Generic Models,Object,N.A,Object,ARC,IfcUnitaryEquipment,"*AIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",SGPset_UnitaryEquipment,TED_Calcium,Label,N.A,N.A,N.A,N.A,"IfcUnitaryEquipmentAIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",skip,UnitaryEquipment,UnitaryEquipment,okay
429,NEA,Pollution Control,Trade Effluent Discharge Chemical Oxygen Demand,Generic Models,Object,N.A,Object,ARC,IfcUnitaryEquipment,"*AIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",SGPset_UnitaryEquipment,TED_ChemicalOxygenDemand,Label,N.A,N.A,N.A,N.A,"IfcUnitaryEquipmentAIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",skip,UnitaryEquipment,UnitaryEquipment,okay
430,NEA,Pollution Control,Trade Effluent Discharge Chloride,Generic Models,Object,N.A,Object,ARC,IfcUnitaryEquipment,"*AIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",SGPset_UnitaryEquipment,TED_Chloride,Label,N.A,N.A,N.A,N.A,"IfcUnitaryEquipmentAIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",skip,UnitaryEquipment,UnitaryEquipment,okay
431,NEA,Pollution Control,Trade Effluent Discharge Chromium,Generic Models,Object,N.A,Object,ARC,IfcUnitaryEquipment,"*AIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",SGPset_UnitaryEquipment,TED_Chromium,Label,N.A,N.A,N.A,N.A,"IfcUnitaryEquipmentAIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",skip,UnitaryEquipment,UnitaryEquipment,okay
432,NEA,Pollution Control,Trade Effluent Discharge Colour,Generic Models,Object,N.A,Object,ARC,IfcUnitaryEquipment,"*AIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",SGPset_UnitaryEquipment,TED_Colour,Label,N.A,N.A,N.A,N.A,"IfcUnitaryEquipmentAIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",skip,UnitaryEquipment,UnitaryEquipment,okay
433,NEA,Pollution Control,Trade Effluent Discharge Copper,Generic Models,Object,N.A,Object,ARC,IfcUnitaryEquipment,"*AIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",SGPset_UnitaryEquipment,TED_Copper,Label,N.A,N.A,N.A,N.A,"IfcUnitaryEquipmentAIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",skip,UnitaryEquipment,UnitaryEquipment,okay
434,NEA,Pollution Control,Trade Effluent Discharge Cyanide,Generic Models,Object,N.A,Object,ARC,IfcUnitaryEquipment,"*AIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",SGPset_UnitaryEquipment,TED_Cyanide,Label,N.A,N.A,N.A,N.A,"IfcUnitaryEquipmentAIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",skip,UnitaryEquipment,UnitaryEquipment,okay
435,NEA,Pollution Control,Trade Effluent Discharge Detergent,Generic Models,Object,N.A,Object,ARC,IfcUnitaryEquipment,"*AIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",SGPset_UnitaryEquipment,TED_Detergent,Label,N.A,N.A,N.A,N.A,"IfcUnitaryEquipmentAIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",skip,UnitaryEquipment,UnitaryEquipment,okay
436,NEA,Pollution Control,Trade Effluent Discharge Grease And Oil,Generic Models,Object,N.A,Object,ARC,IfcUnitaryEquipment,"*AIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",SGPset_UnitaryEquipment,TED_GreaseAndOil,Label,N.A,N.A,N.A,N.A,"IfcUnitaryEquipmentAIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",skip,UnitaryEquipment,UnitaryEquipment,okay
437,NEA,Pollution Control,Trade Effluent Discharge Iron,Generic Models,Object,N.A,Object,ARC,IfcUnitaryEquipment,"*AIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",SGPset_UnitaryEquipment,TED_Iron,Label,N.A,N.A,N.A,N.A,"IfcUnitaryEquipmentAIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",skip,UnitaryEquipment,UnitaryEquipment,okay
438,NEA,Pollution Control,Trade Effluent Discharge Lead,Generic Models,Object,N.A,Object,ARC,IfcUnitaryEquipment,"*AIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",SGPset_UnitaryEquipment,TED_Lead,Label,N.A,N.A,N.A,N.A,"IfcUnitaryEquipmentAIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",skip,UnitaryEquipment,UnitaryEquipment,okay
439,NEA,Pollution Control,Trade Effluent Discharge Magnesium,Generic Models,Object,N.A,Object,ARC,IfcUnitaryEquipment,"*AIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",SGPset_UnitaryEquipment,TED_Magnesium,Label,N.A,N.A,N.A,N.A,"IfcUnitaryEquipmentAIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",skip,UnitaryEquipment,UnitaryEquipment,okay
440,NEA,Pollution Control,Trade Effluent Discharge Manganese,Generic Models,Object,N.A,Object,ARC,IfcUnitaryEquipment,"*AIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",SGPset_UnitaryEquipment,TED_Manganese,Label,N.A,N.A,N.A,N.A,"IfcUnitaryEquipmentAIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",skip,UnitaryEquipment,UnitaryEquipment,okay
441,NEA,Pollution Control,Trade Effluent Discharge Mercury,Generic Models,Object,N.A,Object,ARC,IfcUnitaryEquipment,"*AIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",SGPset_UnitaryEquipment,TED_Mercury,Label,N.A,N.A,N.A,N.A,"IfcUnitaryEquipmentAIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",skip,UnitaryEquipment,UnitaryEquipment,okay
442,NEA,Pollution Control,Trade Effluent Discharge Metals In Total,Generic Models,Object,N.A,Object,ARC,IfcUnitaryEquipment,"*AIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",SGPset_UnitaryEquipment,TED_MetalsInTotal,Label,N.A,N.A,N.A,N.A,"IfcUnitaryEquipmentAIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",skip,UnitaryEquipment,UnitaryEquipment,okay
443,NEA,Pollution Control,Trade Effluent Discharge Nickel,Generic Models,Object,N.A,Object,ARC,IfcUnitaryEquipment,"*AIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",SGPset_UnitaryEquipment,TED_Nickel,Label,N.A,N.A,N.A,N.A,"IfcUnitaryEquipmentAIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",skip,UnitaryEquipment,UnitaryEquipment,okay
444,NEA,Pollution Control,Trade Effluent Discharge Nitrate,Generic Models,Object,N.A,Object,ARC,IfcUnitaryEquipment,"*AIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",SGPset_UnitaryEquipment,TED_Nitrate,Label,N.A,N.A,N.A,N.A,"IfcUnitaryEquipmentAIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",skip,UnitaryEquipment,UnitaryEquipment,okay
445,NEA,Pollution Control,Trade Effluent Discharge Phenolic Compound,Generic Models,Object,N.A,Object,ARC,IfcUnitaryEquipment,"*AIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",SGPset_UnitaryEquipment,TED_PhenolicCompound,Label,N.A,N.A,N.A,N.A,"IfcUnitaryEquipmentAIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",skip,UnitaryEquipment,UnitaryEquipment,okay
446,NEA,Pollution Control,Trade Effluent Discharge Phosphate,Generic Models,Object,N.A,Object,ARC,IfcUnitaryEquipment,"*AIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",SGPset_UnitaryEquipment,TED_Phosphate,Label,N.A,N.A,N.A,N.A,"IfcUnitaryEquipmentAIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",skip,UnitaryEquipment,UnitaryEquipment,okay
447,NEA,Pollution Control,Trade Effluent Discharge PH Value,Generic Models,Object,N.A,Object,ARC,IfcUnitaryEquipment,"*AIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",SGPset_UnitaryEquipment,TED_PHValue,Label,N.A,N.A,N.A,N.A,"IfcUnitaryEquipmentAIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",skip,UnitaryEquipment,UnitaryEquipment,okay
448,NEA,Pollution Control,Trade Effluent Discharge Selenium,Generic Models,Object,N.A,Object,ARC,IfcUnitaryEquipment,"*AIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",SGPset_UnitaryEquipment,TED_Selenium,Label,N.A,N.A,N.A,N.A,"IfcUnitaryEquipmentAIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",skip,UnitaryEquipment,UnitaryEquipment,okay
449,NEA,Pollution Control,Trade Effluent Discharge Silver,Generic Models,Object,N.A,Object,ARC,IfcUnitaryEquipment,"*AIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",SGPset_UnitaryEquipment,TED_Silver,Label,N.A,N.A,N.A,N.A,"IfcUnitaryEquipmentAIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",skip,UnitaryEquipment,UnitaryEquipment,okay
450,NEA,Pollution Control,Trade Effluent Discharge Sulphate,Generic Models,Object,N.A,Object,ARC,IfcUnitaryEquipment,"*AIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",SGPset_UnitaryEquipment,TED_Sulphate,Label,N.A,N.A,N.A,N.A,"IfcUnitaryEquipmentAIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",skip,UnitaryEquipment,UnitaryEquipment,okay
451,NEA,Pollution Control,Trade Effluent Discharge Sulphide,Generic Models,Object,N.A,Object,ARC,IfcUnitaryEquipment,"*AIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",SGPset_UnitaryEquipment,TED_Sulphide,Label,N.A,N.A,N.A,N.A,"IfcUnitaryEquipmentAIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",skip,UnitaryEquipment,UnitaryEquipment,okay
452,NEA,Pollution Control,Trade Effluent Discharge Temperature Of Discharge,Generic Models,Object,N.A,Object,ARC,IfcUnitaryEquipment,"*AIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",SGPset_UnitaryEquipment,TED_TemperatureOfDischarge,Label,N.A,N.A,N.A,N.A,"IfcUnitaryEquipmentAIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",skip,UnitaryEquipment,UnitaryEquipment,okay
453,NEA,Pollution Control,Trade Effluent Discharge Tin,Generic Models,Object,N.A,Object,ARC,IfcUnitaryEquipment,"*AIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",SGPset_UnitaryEquipment,TED_Tin,Label,N.A,N.A,N.A,N.A,"IfcUnitaryEquipmentAIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",skip,UnitaryEquipment,UnitaryEquipment,okay
454,NEA,Pollution Control,Trade Effluent Discharge Total Dissolved Solid,Generic Models,Object,N.A,Object,ARC,IfcUnitaryEquipment,"*AIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",SGPset_UnitaryEquipment,TED_TotalDissolvedSolid,Label,N.A,N.A,N.A,N.A,"IfcUnitaryEquipmentAIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",skip,UnitaryEquipment,UnitaryEquipment,okay
455,NEA,Pollution Control,Trade Effluent Discharge Total Suspended Solid,Generic Models,Object,N.A,Object,ARC,IfcUnitaryEquipment,"*AIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",SGPset_UnitaryEquipment,TED_TotalSuspendedSolid,Label,N.A,N.A,N.A,N.A,"IfcUnitaryEquipmentAIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",skip,UnitaryEquipment,UnitaryEquipment,okay
456,NEA,Pollution Control,Trade Effluent Discharge Zinc,Generic Models,Object,N.A,Object,ARC,IfcUnitaryEquipment,"*AIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",SGPset_UnitaryEquipment,TED_Zinc,Label,N.A,N.A,N.A,N.A,"IfcUnitaryEquipmentAIRIMPURITIESSENSOR, *FUELBURNINGEQUIPMENT, *INCINERATOR, *POLLUTIONCONTROLEQUIPMENT",skip,UnitaryEquipment,UnitaryEquipment,okay
457,BCA,Prefabricated Building Systems and MEP Components,N.A,Rooms,Zone,N.A,Space,ARC,IfcSpace,*PREFABRICATEDBATHROOMUNIT,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcSpacePREFABRICATEDBATHROOMUNIT,okay,Space,#N/A,#N/A
458,BCA,Prefabricated Building Systems and MEP Components,N.A,Rooms,Zone,N.A,Space,ARC,IfcSpace,*PREFABRICATEDMEPHORIZONTALMODULE,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcSpacePREFABRICATEDMEPHORIZONTALMODULE,okay,Space,#N/A,#N/A
459,BCA,Prefabricated Building Systems and MEP Components,N.A,Rooms,Zone,N.A,Space,ARC,IfcSpace,*PREFABRICATEDMEPPLANTMODULE,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcSpacePREFABRICATEDMEPPLANTMODULE,okay,Space,#N/A,#N/A
460,BCA,Prefabricated Building Systems and MEP Components,N.A,Rooms,Zone,N.A,Space,ARC,IfcSpace,*PREFABRICATEDMEPVERTICALMODULE,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcSpacePREFABRICATEDMEPVERTICALMODULE,okay,Space,#N/A,#N/A
461,BCA,Prefabricated Building Systems and MEP Components,N.A,Rooms,Zone,N.A,Space,ARC,IfcSpace,*PREFABRICATEDPUMPSKID,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcSpacePREFABRICATEDPUMPSKID,okay,Space,#N/A,#N/A
